positions_x_odom,positions_y_odom,velocity,acceleration,yaw_odom,Time_Sec,angular_velocity_x_imu,angular_velocity_y_imu,angular_velocity_z_imu,velocity_cmd,steering_angle,mean_x_odom,rms_x_odom,mean_y_odom,rms_y_odom,mean_yaw_odom,rms_yaw_odom
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,,,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
2.2512216446557431e-07,2.0675361156463623e-06,0,0,3.4182623682022323e-09,1.3231472969055176,,,,0.15,0.0,2.2512216446557431e-07,2.2512216446557431e-07,2.0675361156463623e-06,2.0675361156463623e-06,3.4182623682022323e-09,3.4182623682022323e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
6.092165563131857e-07,-2.802722156047821e-05,3.0097208642771303e-05,3.0097208642771303e-05,7.525447016056174e-09,1.4069249629974365,,,,0.15,0.0,4.1716936038938e-07,4.592520013128751e-07,-1.2979842722415924e-05,1.9872089145201074e-05,5.471854692129204e-09,5.84452181146312e-09
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
9.475797355662507e-07,-0.00010215304791927338,7.412659862030178e-05,7.412659862030178e-05,2.129346959584856e-08,1.4949369430541992,,,,0.15,0.0,5.939728187816703e-07,6.632576564894339e-07,-4.2704244454701744e-05,6.11692871006003e-05,1.0745726326702323e-08,1.318747787156012e-08
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.3168902341931243e-06,-0.001986313611268997,0.0018841605995436252,0.0018841605995436252,3.115695691375027e-07,1.5791561603546143,,,,0.15,0.0,7.747021726345338e-07,8.737751492215818e-07,-0.0005286065861582756,0.0009945686008724678,8.595168702940242e-08,1.562028529912048e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
1.9702072222571587e-06,0.00015111081302165985,0.0021374245241358425,0.0021374245241358425,9.685074094159852e-08,1.6675586700439453,,,,0.15,0.0,1.0138031825590587e-06,1.177764708608902e-06,-0.0003926631063222885,0.0008921324212444853,8.813149781184164e-08,1.4627193247599103e-07
2.484966216798057e-06,0.0030916202813386917,0.002940509513373309,0.002940509513373309,-1.7516770175214265e-07,1.7523283958435059,,,,0.15,0.0,1.2589970215988917e-06,1.4782143305832832e-06,0.0001880507916212082,0.0015020883933800561,4.424829788451093e-08,1.5147118256642744e-07
2.484966216798057e-06,0.0030916202813386917,0.002940509513373309,0.002940509513373309,-1.7516770175214265e-07,1.7523283958435059,,,,0.15,0.0,1.2589970215988917e-06,1.4782143305832832e-06,0.0001880507916212082,0.0015020883933800561,4.424829788451093e-08,1.5147118256642744e-07
2.484966216798057e-06,0.0030916202813386917,0.002940509513373309,0.002940509513373309,-1.7516770175214265e-07,1.7523283958435059,,,,0.15,0.0,1.2589970215988917e-06,1.4782143305832832e-06,0.0001880507916212082,0.0015020883933800561,4.424829788451093e-08,1.5147118256642744e-07
2.484966216798057e-06,0.0030916202813386917,0.002940509513373309,0.002940509513373309,-1.7516770175214265e-07,1.7523283958435059,,,,0.15,0.0,1.2589970215988917e-06,1.4782143305832832e-06,0.0001880507916212082,0.0015020883933800561,4.424829788451093e-08,1.5147118256642744e-07
2.484966216798057e-06,0.0030916202813386917,0.002940509513373309,0.002940509513373309,-1.7516770175214265e-07,1.7523283958435059,,,,0.15,0.0,1.2589970215988917e-06,1.4782143305832832e-06,0.0001880507916212082,0.0015020883933800561,4.424829788451093e-08,1.5147118256642744e-07
