positions_x_odom,positions_y_odom
0.007146003190428019,-0.045412153005599976
-0.004822747316211462,-0.0630369484424591
0.030122697353363037,-0.05267912521958351
0.07374848425388336,-0.10070494562387466
0.2351447194814682,-0.16630586981773376
0.5156441926956177,-0.27116918563842773
0.8086439967155457,-0.5110893845558167
1.1742181777954102,-0.8055835962295532
1.5466644763946533,-1.1804594993591309
1.9424093961715698,-1.4956508874893188
2.3013617992401123,-1.8863306045532227
2.6237707138061523,-2.3289361000061035
2.9445395469665527,-2.755708694458008
3.2729339599609375,-3.1857657432556152
3.5726006031036377,-3.6533374786376953
3.894848585128784,-4.0295186042785645
4.228672504425049,-4.445953369140625
4.530336856842041,-4.8732829093933105
4.876343250274658,-5.290802478790283
5.184688091278076,-5.768008708953857
5.495031833648682,-6.223143577575684
5.7667646408081055,-6.709510326385498
5.9808478355407715,-7.232755661010742
6.148521900177002,-7.759882926940918
6.270042896270752,-8.316973686218262
6.371153354644775,-8.904790878295898
6.360289096832275,-9.49376392364502
6.304202079772949,-10.029581069946289
6.2429094314575195,-10.585832595825195
6.152498245239258,-11.232391357421875
5.954204082489014,-11.808839797973633
5.741342067718506,-12.396035194396973
5.495022773742676,-12.93825912475586
5.198538780212402,-13.479877471923828
4.831058979034424,-13.977861404418945
4.4016947746276855,-14.41949462890625
3.945018768310547,-14.857645988464355
3.455543041229248,-15.216665267944336
2.948042154312134,-15.546992301940918
2.4191603660583496,-15.861271858215332
1.8304944038391113,-16.110441207885742
1.231704592704773,-16.304758071899414
0.6026668548583984,-16.48399543762207
-0.043524254113435745,-16.524478912353516
-0.6960437297821045,-16.60283851623535
-1.349414587020874,-16.591230392456055
-1.9976410865783691,-16.48627471923828
-2.6358823776245117,-16.307132720947266
-3.2307815551757812,-16.066043853759766
-3.811581611633301,-15.852287292480469
-4.359190464019775,-15.539509773254395
-4.881133079528809,-15.22996711730957
-5.396786212921143,-14.858253479003906
-5.888505458831787,-14.474437713623047
-6.354947090148926,-14.004484176635742
-6.764845848083496,-13.455362319946289
-7.157818794250488,-12.958030700683594
-7.514956474304199,-12.483855247497559
-7.840753078460693,-11.904088973999023
-8.121024131774902,-11.177633285522461
-8.359570503234863,-10.525318145751953
-8.528382301330566,-10.022266387939453
-8.599847793579102,-9.524482727050781
-8.614602088928223,-8.872676849365234
-8.532992362976074,-8.260190963745117
-8.402732849121094,-7.6275248527526855
-8.196857452392578,-7.060335159301758
-7.9633331298828125,-6.497631072998047
-7.650118350982666,-5.924436092376709
-7.3030805587768555,-5.403692722320557
-6.91396951675415,-4.914437770843506
-6.47565221786499,-4.475162506103516
-6.0376667976379395,-4.088817119598389
-5.53660774230957,-3.6979010105133057
-5.023861408233643,-3.3222129344940186
-4.477612018585205,-3.0859768390655518
-3.9233181476593018,-2.7784688472747803
-3.3905563354492188,-2.441481351852417
-2.7758913040161133,-2.187530755996704
-2.236246347427368,-1.8674015998840332
-1.6842225790023804,-1.5957911014556885
-1.1148492097854614,-1.2645353078842163
-0.5436379909515381,-0.9995298981666565
